Operation, Size, OpenCL Overhead, GPU Data Trans, GPU Ex, CPU Ex,
Vector Addition, 32, 1389003714, 7711042 ,167213, 1185886,
Vector Addition, 32, 47835319, 1760655 ,76977, 5987,
Vector Addition, 32, 55821770, 2474410 ,83821, 8981,
Vector Addition, 32, 44731829, 2185743 ,95795, 9409,
Vector Addition, 32, 73778993, 2442763 ,114612, 8981,
Vector Addition, 32, 77070224, 2207553 ,99644, 7698,
Vector Addition, 32, 75431878, 3279684 ,124875, 11119,
Vector Addition, 32, 275045277, 4119598 ,171917, 7271,
Vector Addition, 32, 70312850, 3742406 ,192873, 9836,
Vector Addition, 32, 30729130, 2503918 ,100071, 13685,
Vector Addition, 32, 66851842, 1811972 ,73985, 15823,
Vector Addition, 32, 45871101, 3300211 ,97933, 8125,
Vector Addition, 32, 51213364, 1563933 ,65004, 8126,
Vector Addition, 32, 14909755, 2440197 ,154384, 12830,
Vector Addition, 32, -76292747, 5917031 ,145402, 7698,
Vector Addition, 32, 134003468, 2100213 ,82109, 9408,
Vector Addition, 32, 78070934, 1892801 ,86386, 11547,
Vector Addition, 32, 67858540, 2058730 ,81682, 14112,
Vector Addition, 32, 119112959, 3586313 ,133428, 13257,
Vector Addition, 32, 78534512, 3942122 ,152245, 9836,
Vector Addition, 32, 60940370, 2135708 ,80827, 8553,
Vector Addition, 32, 58178576, 1942409 ,85103, 22238,
Vector Addition, 32, 66840293, 2217817 ,85531, 10264,
Vector Addition, 32, 58963750, 2187881 ,85959, 8553,
Vector Addition, 32, 65095035, 1888523 ,77833, 8981,
Vector Addition, 32, 57337806, 1995010 ,84247, 7698,
Vector Addition, 32, 56060830, 2691658 ,145831, 8553,
Vector Addition, 32, 63442578, 2403420 ,109052, 8554,
Vector Addition, 32, 62832314, 1788024 ,75695, 8126,
Vector Addition, 32, 74699733, 2019386 ,82537, 6842,
Vector Addition, 32, 61979143, 1784176 ,78688, 6842,
Vector Addition, 32, 55692192, 1870561 ,78689, 29508,
Vector Addition, 32, 55962042, 2360653 ,115895, 13685,
Vector Addition, 32, 59142937, 2059585 ,89807, 8126,
Vector Addition, 32, 58175582, 3008123 ,146258, 7698,
Vector Addition, 32, 56858405, 2177190 ,81682, 8981,
Vector Addition, 32, 50203242, 2152386 ,80399, 8553,
Vector Addition, 32, 62417061, 2293085 ,134284, 8980,
Vector Addition, 32, 58006658, 1978758 ,88524, 17962,
Vector Addition, 32, 53127545, 2063435 ,88952, 8553,
Vector Addition, 32, 63460112, 2545402 ,135566, 9836,
Vector Addition, 32, 62204946, 1888951 ,85531, 9408,
Vector Addition, 32, 63014923, 3022237 ,144119, 33785,
Vector Addition, 32, 60481069, 2382891 ,113757, 12402,
Vector Addition, 32, 63853554, 1902208 ,88525, 15396,
Vector Addition, 32, 56914856, 1855593 ,75695, 16679,
Vector Addition, 32, 55544650, 2427796 ,119743, 6843,
Vector Addition, 32, 45378442, 1648609 ,67569, 18817,
Vector Addition, 32, 47596259, 1574198 ,65858, 8981,
Vector Addition, 32, 47714293, 1495508 ,60300, 13685,
Vector Addition, 32, 49960335, 1507055 ,57733, 7698,
Vector Addition, 32, 48610228, 2368780 ,103492, 9409,
Vector Addition, 32, 51336955, 2499215 ,110762, 14968,
Vector Addition, 32, 45969888, 1643050 ,65003, 7270,
Vector Addition, 32, 51641018, 2236206 ,95795, 14541,
Vector Addition, 32, 32594987, 1932573 ,77405, 15823,
Vector Addition, 32, 46616075, 2302494 ,110762, 12830,
Vector Addition, 32, 50018925, 1609264 ,64576, 7697,
Vector Addition, 32, 48195831, 1992872 ,91945, 7270,
Vector Addition, 32, 55390267, 1690519 ,78689, 7271,
Vector Addition, 32, 52733676, 1625515 ,64148, 14113,
Vector Addition, 32, 44099755, 1589165 ,73984, 9408,
Vector Addition, 32, 38033901, 1631502 ,81255, 8981,
Vector Addition, 32, 45541379, 2190875 ,93229, 17107,
Vector Addition, 32, 44364900, 1915893 ,70563, 8553,
Vector Addition, 32, 39051719, 1478830 ,64148, 19672,
Vector Addition, 32, 42946798, 1696078 ,73129, 21382,
Vector Addition, 32, 50565466, 1609265 ,62010, 8981,
Vector Addition, 32, 43885071, 1645188 ,65431, 8126,
Vector Addition, 32, 38198119, 2170775 ,85531, 8980,
Vector Addition, 32, 52126834, 2307625 ,103064, 13257,
Vector Addition, 32, 46250857, 1852173 ,70563, 8981,
Vector Addition, 32, 43753354, 1609692 ,67997, 7270,
Vector Addition, 32, 29297342, 1709336 ,71418, 7698,
Vector Addition, 32, 52968030, 2186171 ,89380, 8980,
Vector Addition, 32, 35873389, 1493371 ,62865, 7271,
Vector Addition, 32, 36476382, 2307625 ,119743, 7698,
Vector Addition, 32, 37360771, 1618673 ,72701, 12402,
Vector Addition, 32, 45422491, 1845757 ,70136, 7270,
Vector Addition, 32, 36238606, 2456021 ,92801, 8553,
Vector Addition, 32, 44678371, 1692230 ,72701, 14540,
Vector Addition, 32, 35263981, 2181467 ,105203, 8125,
Vector Addition, 32, 36517437, 1755094 ,67570, 8980,
Vector Addition, 32, 33800119, 1819671 ,79544, 8126,
Vector Addition, 32, 51233036, 2109620 ,76123, 8553,
Vector Addition, 32, 33535400, 3270704 ,69280, 11547,
Vector Addition, 32, 32848586, 1525445 ,66286, 7698,
Vector Addition, 32, 30527277, 1514326 ,66286, 6842,
Vector Addition, 32, 25242321, 1651174 ,67998, 20955,
Vector Addition, 32, 48866822, 1868423 ,84248, 22238,
Vector Addition, 32, 46752069, 2645901 ,116749, 7698,
Vector Addition, 32, 45003817, 1914610 ,80827, 9409,
Vector Addition, 32, 45239454, 2420525 ,121882, 8554,
Vector Addition, 32, 40590421, 1893655 ,73557, 12402,
Vector Addition, 32, 41679229, 1736277 ,92802, 11547,
Vector Addition, 32, 45283076, 1917176 ,90235, 20528,
Vector Addition, 32, 52588274, 1927867 ,74840, 8126,
Vector Addition, 32, 47710443, 2251174 ,121026, 10264,
Vector Addition, 32, 45289917, 1825657 ,79972, 7698,
Vector Addition, 32, 45798827, 2209692 ,110335, 8553,
Vector Addition, 64, 46129831, 1863720 ,72701, 24377,
Vector Addition, 64, 46399254, 1841481 ,73129, 16678,
Vector Addition, 64, 47309303, 2337133 ,135139, 10264,
Vector Addition, 64, 47195120, 1999286 ,85959, 11119,
Vector Addition, 64, 42989991, 1888523 ,78261, 19672,
Vector Addition, 64, 42583290, 1921453 ,85531, 10692,
Vector Addition, 64, 45301892, 1908623 ,88525, 9409,
Vector Addition, 64, 42186000, 2386741 ,103065, 8126,
Vector Addition, 64, 38896052, 1839770 ,80399, 9836,
Vector Addition, 64, 52467246, 1838060 ,79116, 29080,
Vector Addition, 64, 51705594, 1672558 ,76550, 10263,
Vector Addition, 64, 46759767, 2634354 ,115466, 8981,
Vector Addition, 64, 47665113, 2385886 ,110763, 11119,
Vector Addition, 64, 46478798, 2406841 ,108624, 37206,
Vector Addition, 64, 44474809, 1882108 ,81255, 7698,
Vector Addition, 64, 45368606, 1834638 ,74840, 2139,
Vector Addition, 64, 41272529, 1791874 ,79971, 2138,
Vector Addition, 64, 46424059, 2262721 ,100071, 2138,
Vector Addition, 64, 43870959, 1910761 ,79116, 2138,
Vector Addition, 64, 39604676, 2666855 ,135994, 5560,
Vector Addition, 64, 40384718, 1875694 ,77405, 2138,
Vector Addition, 64, 55650281, 2446185 ,112473, 2138,
Vector Addition, 64, 43969320, 1875266 ,73985, 2139,
Vector Addition, 64, 51403241, 1847041 ,77833, 2566,
Vector Addition, 64, 46167893, 2140840 ,99643, 7270,
Vector Addition, 64, 42211660, 1682393 ,72274, 2566,
Vector Addition, 64, 45833467, 1778615 ,73557, 2566,
Vector Addition, 64, 46659696, 3724016 ,131718, 2138,
Vector Addition, 64, 44009946, 2012543 ,75267, 1711,
Vector Addition, 64, 37271819, 1896648 ,80827, 7270,
